32:1293988, ack 721, win 501, length 156
02:45:23.933119 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1509636:1509792, ack 865, win 501, length 156
02:45:23.933178 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1509792:1509948, ack 865, win 501, length 156
02:45:23.933235 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1509948:1510104, ack 865, win 501, length 156
02:45:23.933277 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1510104:1510260, ack 865, win 501, length 156
02:45:23.933321 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1510260:1510416, ack 865, win 501, length 156
02:45:23.933365 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1510416:1510572, ack 865, win 501, length 156
02:45:23.933410 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1510572:1510728, ack 865, win 501, length 156
02:45:23.933455 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1510728:1510884, ack 865, win 501, length 156
02:45:23.933677 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1510884:1511040, ack 865, win 501, length 156
02:45:23.933777 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1511040:1511196, ack 865, win 501, length 156
02:45:23.933828 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1511196:1511352, ack 865, win 501, length 156
02:45:23.933873 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1511352:1511508, ack 865, win 501, length 156
02:45:23.933921 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1511508:1511664, ack 865, win 501, length 156
02:45:23.933966 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1511664:1511820, ack 865, win 501, length 156
02:45:23.934045 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1511820:1511976, ack 865, win 501, length 156
02:45:23.934096 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1511976:1512132, ack 865, win 501, length 156
02:45:23.934165 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1512132:1512288, ack 865, win 501, length 156
02:45:23.934208 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1512288:1512444, ack 865, win 501, length 156
02:45:23.934252 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1512444:1512600, ack 865, win 501, length 156
02:45:23.934296 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1512600:1512756, ack 865, win 501, length 156
02:45:23.934341 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1512756:1512912, ack 865, win 501, length 156
02:45:23.934512 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1512912:1513068, ack 865, win 501, length 156
02:45:23.934615 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1513068:1513224, ack 865, win 501, length 156
02:45:23.934667 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1513224:1513380, ack 865, win 501, length 156
02:45:23.934735 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1513380:1513536, ack 865, win 501, length 156
02:45:23.934793 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1513536:1513692, ack 865, win 501, length 156
02:45:23.934840 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1513692:1513848, ack 865, win 501, length 156
02:45:23.934888 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1513848:1514004, ack 865, win 501, length 156
02:45:23.934933 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1514004:1514160, ack 865, win 501, length 156
02:45:23.934980 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1514160:1514316, ack 865, win 501, length 156
02:45:23.935025 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1514316:1514472, ack 865, win 501, length 156
02:45:23.935071 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1514472:1514628, ack 865, win 501, length 156
02:45:23.935422 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1514628:1514784, ack 865, win 501, length 156
02:45:23.935632 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1506568, win 8337, length 0
02:45:23.935632 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1508596, win 8337, length 0
02:45:23.935680 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1514784:1514940, ack 865, win 501, length 156
02:45:23.935793 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1514940:1515304, ack 865, win 501, length 364
02:45:23.935846 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1515304:1515460, ack 865, win 501, length 156
02:45:23.935894 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1515460:1515616, ack 865, win 501, length 156
02:45:23.935941 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1515616:1515772, ack 865, win 501, length 156
02:45:23.936064 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1515772:1515928, ack 865, win 501, length 156
02:45:23.936259 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1515928:1516084, ack 865, win 501, length 156
02:45:23.936348 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1516084:1516240, ack 865, win 501, length 156
02:45:23.936397 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1516240:1516396, ack 865, win 501, length 156
02:45:23.936703 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1516396:1516552, ack 865, win 501, length 156
02:45:23.936804 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1516552:1516708, ack 865, win 501, length 156
02:45:23.936855 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1516708:1516864, ack 865, win 501, length 156
02:45:23.937065 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1516864:1517020, ack 865, win 501, length 156
02:45:23.937126 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1517020:1517176, ack 865, win 501, length 156
02:45:23.937178 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1517176:1517332, ack 865, win 501, length 156
02:45:23.937325 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1517332:1517488, ack 865, win 501, length 156
02:45:23.937400 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1517488:1517644, ack 865, win 501, length 156
02:45:23.937446 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1517644:1517800, ack 865, win 501, length 156
02:45:23.937492 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1517800:1517956, ack 865, win 501, length 156
02:45:23.937734 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1517956:1518112, ack 865, win 501, length 156
02:45:23.937826 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1518112:1518268, ack 865, win 501, length 156
02:45:23.937872 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1512132, win 8337, length 0
02:45:23.937948 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1518268:1518528, ack 865, win 501, length 260
02:45:23.937994 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1518528:1518684, ack 865, win 501, length 156
02:45:23.938303 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1518684:1518840, ack 865, win 501, length 156
02:45:23.938425 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1518840:1518996, ack 865, win 501, length 156
02:45:23.938511 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1518996:1519152, ack 865, win 501, length 156
02:45:23.938564 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1519152:1519308, ack 865, win 501, length 156
02:45:23.938721 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1519308:1519464, ack 865, win 501, length 156
02:45:23.938775 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1519464:1519620, ack 865, win 501, length 156
02:45:23.938821 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1519620:1519776, ack 865, win 501, length 156
02:45:23.938863 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1519776:1519932, ack 865, win 501, length 156
02:45:23.939010 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1519932:1520088, ack 865, win 501, length 156
02:45:23.939070 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1520088:1520244, ack 865, win 501, length 156
02:45:23.939771 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1520244:1520400, ack 865, win 501, length 156
02:45:23.939904 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1520400:1520556, ack 865, win 501, length 156
02:45:23.940031 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1520556:1520712, ack 865, win 501, length 156
02:45:23.940091 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1520712:1520868, ack 865, win 501, length 156
02:45:23.940141 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1520868:1521024, ack 865, win 501, length 156
02:45:23.940192 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1521024:1521180, ack 865, win 501, length 156
02:45:23.940238 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1521180:1521336, ack 865, win 501, length 156
02:45:23.940283 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1521336:1521492, ack 865, win 501, length 156
02:45:23.940300 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1515928, win 8337, length 0
02:45:23.940479 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1518528, win 8337, length 0
02:45:23.940584 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1521492:1521856, ack 865, win 501, length 364
02:45:23.940705 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1521856:1522012, ack 865, win 501, length 156
02:45:23.940754 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1522012:1522168, ack 865, win 501, length 156
02:45:23.940797 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1522168:1522324, ack 865, win 501, length 156
02:45:23.940992 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1522324:1522480, ack 865, win 501, length 156
02:45:23.941047 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1522480:1522636, ack 865, win 501, length 156
02:45:23.941090 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1522636:1522792, ack 865, win 501, length 156
02:45:23.941136 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1522792:1522948, ack 865, win 501, length 156
02:45:23.941184 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1522948:1523104, ack 865, win 501, length 156
02:45:23.941335 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1523104:1523260, ack 865, win 501, length 156
02:45:23.941389 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1523260:1523416, ack 865, win 501, length 156
02:45:23.941434 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1523416:1523572, ack 865, win 501, length 156
02:45:23.941553 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1523572:1523728, ack 865, win 501, length 156
02:45:23.941659 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1523728:1523884, ack 865, win 501, length 156
02:45:23.941708 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1523884:1524040, ack 865, win 501, length 156
02:45:23.941753 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1524040:1524196, ack 865, win 501, length 156
02:45:23.941802 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1524196:1524352, ack 865, win 501, length 156
02:45:23.941850 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1524352:1524508, ack 865, win 501, length 156
02:45:23.941949 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1524508:1524664, ack 865, win 501, length 156
02:45:23.942426 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1524664:1524820, ack 865, win 501, length 156
02:45:23.942654 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1520556, win 8337, length 0
02:45:23.942699 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1524820:1524976, ack 865, win 501, length 156
02:45:23.942895 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1524976:1525236, ack 865, win 501, length 260
02:45:23.942956 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1525236:1525392, ack 865, win 501, length 156
02:45:23.943007 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1525392:1525548, ack 865, win 501, length 156
02:45:23.943652 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1525548:1525704, ack 865, win 501, length 156
02:45:23.943786 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1525704:1525860, ack 865, win 501, length 156
02:45:23.944161 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1525860:1526016, ack 865, win 501, length 156
02:45:23.944399 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1524508, win 8337, length 0
02:45:23.944464 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1526016:1526172, ack 865, win 501, length 156
02:45:23.944638 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1526172:1526432, ack 865, win 501, length 260
02:45:23.944716 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1526432:1526588, ack 865, win 501, length 156
02:45:23.944904 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1526588:1526744, ack 865, win 501, length 156
02:45:23.945224 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1526744:1526900, ack 865, win 501, length 156
02:45:23.945290 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1526900:1527056, ack 865, win 501, length 156
02:45:23.945340 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1527056:1527212, ack 865, win 501, length 156
02:45:23.945387 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1527212:1527368, ack 865, win 501, length 156
02:45:23.945548 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1527368:1527524, ack 865, win 501, length 156
02:45:23.945825 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1527524:1527680, ack 865, win 501, length 156
02:45:23.945902 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1527680:1527836, ack 865, win 501, length 156
02:45:23.945954 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1527836:1527992, ack 865, win 501, length 156
02:45:23.946002 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1527992:1528148, ack 865, win 501, length 156
02:45:23.946052 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1528148:1528304, ack 865, win 501, length 156
02:45:23.946100 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1528304:1528460, ack 865, win 501, length 156
02:45:23.946172 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1528460:1528616, ack 865, win 501, length 156
02:45:23.946230 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1528616:1528772, ack 865, win 501, length 156
02:45:23.946312 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1528772:1528928, ack 865, win 501, length 156
02:45:23.946366 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1528928:1529084, ack 865, win 501, length 156
02:45:23.946410 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1525860, win 8332, length 0
02:45:23.946442 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1529084:1529240, ack 865, win 501, length 156
02:45:23.946488 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1529240:1529500, ack 865, win 501, length 260
02:45:23.946524 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1529500:1529656, ack 865, win 501, length 156
02:45:23.946568 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1529656:1529812, ack 865, win 501, length 156
02:45:23.946612 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1529812:1529968, ack 865, win 501, length 156
02:45:23.946690 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1529968:1530124, ack 865, win 501, length 156
02:45:23.946729 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1530124:1530280, ack 865, win 501, length 156
02:45:23.946768 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1530280:1530436, ack 865, win 501, length 156
02:45:23.946802 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1530436:1530592, ack 865, win 501, length 156
02:45:23.946843 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1530592:1530748, ack 865, win 501, length 156
02:45:23.946880 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1530748:1530904, ack 865, win 501, length 156
02:45:23.946924 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1530904:1531060, ack 865, win 501, length 156
02:45:23.946970 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1531060:1531216, ack 865, win 501, length 156
02:45:23.947008 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1531216:1531372, ack 865, win 501, length 156
02:45:23.947652 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1531372:1531528, ack 865, win 501, length 156
02:45:23.947790 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1531528:1531684, ack 865, win 501, length 156
02:45:23.947857 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1531684:1531840, ack 865, win 501, length 156
02:45:23.948115 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1531840:1531996, ack 865, win 501, length 156
02:45:23.948287 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1531996:1532152, ack 865, win 501, length 156
02:45:23.948354 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1532152:1532308, ack 865, win 501, length 156
02:45:23.948397 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1528460, win 8337, length 0
02:45:23.948446 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1532308:1532464, ack 865, win 501, length 156
02:45:23.948520 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1532464:1532724, ack 865, win 501, length 260
02:45:23.948610 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1532724:1532880, ack 865, win 501, length 156
02:45:23.948668 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1532880:1533036, ack 865, win 501, length 156
02:45:23.948854 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1533036:1533192, ack 865, win 501, length 156
02:45:23.949026 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1533192:1533348, ack 865, win 501, length 156
02:45:23.949089 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1533348:1533504, ack 865, win 501, length 156
02:45:23.949211 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1533504:1533660, ack 865, win 501, length 156
02:45:23.949277 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1533660:1533816, ack 865, win 501, length 156
02:45:23.949330 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1533816:1533972, ack 865, win 501, length 156
02:45:23.949380 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1533972:1534128, ack 865, win 501, length 156
02:45:23.949431 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1534128:1534284, ack 865, win 501, length 156
02:45:23.949497 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1534284:1534440, ack 865, win 501, length 156
02:45:23.949576 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1534440:1534596, ack 865, win 501, length 156
02:45:23.949639 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1534596:1534752, ack 865, win 501, length 156
02:45:23.949688 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1534752:1534908, ack 865, win 501, length 156
02:45:23.949736 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1534908:1535064, ack 865, win 501, length 156
02:45:23.949783 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1535064:1535220, ack 865, win 501, length 156
02:45:23.949864 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1535220:1535376, ack 865, win 501, length 156
02:45:23.950176 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1535376:1535532, ack 865, win 501, length 156
02:45:23.950283 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1535532:1535688, ack 865, win 501, length 156
02:45:23.950645 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1535688:1535844, ack 865, win 501, length 156
02:45:23.950734 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1535844:1536000, ack 865, win 501, length 156
02:45:23.950943 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1536000:1536156, ack 865, win 501, length 156
02:45:23.951011 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1536156:1536312, ack 865, win 501, length 156
02:45:23.951062 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1536312:1536468, ack 865, win 501, length 156
02:45:23.951427 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1536468:1536624, ack 865, win 501, length 156
02:45:23.951563 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1531996, win 8337, length 0
02:45:23.951635 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1536624:1536780, ack 865, win 501, length 156
02:45:23.951776 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1536780:1537040, ack 865, win 501, length 260
02:45:23.951901 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1537040:1537196, ack 865, win 501, length 156
02:45:23.952002 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1537196:1537352, ack 865, win 501, length 156
02:45:23.952050 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1537352:1537508, ack 865, win 501, length 156
02:45:23.952218 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1537508:1537664, ack 865, win 501, length 156
02:45:23.952278 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1537664:1537820, ack 865, win 501, length 156
02:45:23.952326 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1537820:1537976, ack 865, win 501, length 156
02:45:23.952371 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1537976:1538132, ack 865, win 501, length 156
02:45:23.952390 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1535220, win 8337, length 0
02:45:23.952469 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1538132:1538392, ack 865, win 501, length 260
02:45:23.952516 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1538392:1538548, ack 865, win 501, length 156
02:45:23.952728 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1538548:1538704, ack 865, win 501, length 156
02:45:23.952784 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1538704:1538860, ack 865, win 501, length 156
02:45:23.952942 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1538860:1539016, ack 865, win 501, length 156
02:45:23.953130 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1539016:1539172, ack 865, win 501, length 156
02:45:23.953216 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1539172:1539328, ack 865, win 501, length 156
02:45:23.953290 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1539328:1539484, ack 865, win 501, length 156
02:45:23.953435 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1539484:1539640, ack 865, win 501, length 156
02:45:23.953488 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1539640:1539796, ack 865, win 501, length 156
02:45:23.953549 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1539796:1539952, ack 865, win 501, length 156
02:45:23.953611 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1539952:1540108, ack 865, win 501, length 156
02:45:23.953658 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1540108:1540264, ack 865, win 501, length 156
02:45:23.953702 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1540264:1540420, ack 865, win 501, length 156
02:45:23.953745 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1540420:1540576, ack 865, win 501, length 156
02:45:23.953789 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1540576:1540732, ack 865, win 501, length 156
02:45:23.953833 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1540732:1540888, ack 865, win 501, length 156
02:45:23.953878 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1540888:1541044, ack 865, win 501, length 156
02:45:23.953922 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1541044:1541200, ack 865, win 501, length 156
02:45:23.953966 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1541200:1541356, ack 865, win 501, length 156
02:45:23.954009 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1541356:1541512, ack 865, win 501, length 156
02:45:23.954055 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1541512:1541668, ack 865, win 501, length 156
02:45:23.954100 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1541668:1541824, ack 865, win 501, length 156
02:45:23.954144 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1541824:1541980, ack 865, win 501, length 156
02:45:23.954188 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1541980:1542136, ack 865, win 501, length 156
02:45:23.954233 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1542136:1542292, ack 865, win 501, length 156
