02:51:18.561478 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2720500:2720712, ack 1549, win 501, length 212
02:51:18.620672 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2859148:2859360, ack 1621, win 501, length 212
02:51:18.620711 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2859360:2859572, ack 1621, win 501, length 212
02:51:18.620746 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2859572:2859784, ack 1621, win 501, length 212
02:51:18.620818 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2859784:2859996, ack 1621, win 501, length 212
02:51:18.620854 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2859996:2860208, ack 1621, win 501, length 212
02:51:18.620899 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2860208:2860420, ack 1621, win 501, length 212
02:51:18.620938 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2860420:2860632, ack 1621, win 501, length 212
02:51:18.620973 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2860632:2860844, ack 1621, win 501, length 212
02:51:18.621007 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2860844:2861056, ack 1621, win 501, length 212
02:51:18.621042 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2861056:2861268, ack 1621, win 501, length 212
02:51:18.621078 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2861268:2861480, ack 1621, win 501, length 212
02:51:18.621125 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2861480:2861692, ack 1621, win 501, length 212
02:51:18.621170 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2861692:2861904, ack 1621, win 501, length 212
02:51:18.621216 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2861904:2862116, ack 1621, win 501, length 212
02:51:18.621259 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2862116:2862328, ack 1621, win 501, length 212
02:51:18.621295 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2862328:2862540, ack 1621, win 501, length 212
02:51:18.621328 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2862540:2862752, ack 1621, win 501, length 212
02:51:18.621364 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2862752:2862964, ack 1621, win 501, length 212
02:51:18.621399 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2862964:2863176, ack 1621, win 501, length 212
02:51:18.621444 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2863176:2863388, ack 1621, win 501, length 212
02:51:18.621483 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2863388:2863600, ack 1621, win 501, length 212
02:51:18.621527 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2863600:2863812, ack 1621, win 501, length 212
02:51:18.621569 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2863812:2864024, ack 1621, win 501, length 212
02:51:18.621613 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2864024:2864236, ack 1621, win 501, length 212
02:51:18.621650 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2864236:2864448, ack 1621, win 501, length 212
02:51:18.621689 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2864448:2864660, ack 1621, win 501, length 212
02:51:18.621726 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2864660:2864872, ack 1621, win 501, length 212
02:51:18.621760 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2864872:2865084, ack 1621, win 501, length 212
02:51:18.621794 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2865084:2865296, ack 1621, win 501, length 212
02:51:18.621829 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2865296:2865508, ack 1621, win 501, length 212
02:51:18.621864 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2865508:2865720, ack 1621, win 501, length 212
02:51:18.621898 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2865720:2865932, ack 1621, win 501, length 212
02:51:18.621933 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2865932:2866144, ack 1621, win 501, length 212
02:51:18.621974 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2866144:2866356, ack 1621, win 501, length 212
02:51:18.622009 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2866356:2866568, ack 1621, win 501, length 212
02:51:18.622043 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2866568:2866780, ack 1621, win 501, length 212
02:51:18.622080 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2866780:2866992, ack 1621, win 501, length 212
02:51:18.622115 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2866992:2867204, ack 1621, win 501, length 212
02:51:18.622159 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2867204:2867416, ack 1621, win 501, length 212
02:51:18.622210 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2867416:2867628, ack 1621, win 501, length 212
02:51:18.622261 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2867628:2867840, ack 1621, win 501, length 212
02:51:18.622310 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2867840:2868052, ack 1621, win 501, length 212
02:51:18.622350 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2868052:2868264, ack 1621, win 501, length 212
02:51:18.622820 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2868264:2868476, ack 1621, win 501, length 212
02:51:18.623012 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2868476:2868688, ack 1621, win 501, length 212
02:51:18.623098 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2868688:2868900, ack 1621, win 501, length 212
02:51:18.623181 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2868900:2869112, ack 1621, win 501, length 212
02:51:18.623238 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2869112:2869324, ack 1621, win 501, length 212
02:51:18.623273 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2869324:2869536, ack 1621, win 501, length 212
02:51:18.623321 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2869536:2869748, ack 1621, win 501, length 212
02:51:18.623575 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2869748:2869960, ack 1621, win 501, length 212
02:51:18.623884 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2869960:2870172, ack 1621, win 501, length 212
02:51:18.623956 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2870172:2870384, ack 1621, win 501, length 212
02:51:18.624015 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2870384:2870596, ack 1621, win 501, length 212
02:51:18.624070 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2870596:2870808, ack 1621, win 501, length 212
02:51:18.624125 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2870808:2871020, ack 1621, win 501, length 212
02:51:18.624179 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2871020:2871232, ack 1621, win 501, length 212
02:51:18.624518 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2871232:2871444, ack 1621, win 501, length 212
02:51:18.624646 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2871444:2871656, ack 1621, win 501, length 212
02:51:18.624715 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2871656:2871868, ack 1621, win 501, length 212
02:51:18.624875 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2871868:2872080, ack 1621, win 501, length 212
02:51:18.624970 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2872080:2872292, ack 1621, win 501, length 212
02:51:18.625025 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2872292:2872504, ack 1621, win 501, length 212
02:51:18.625078 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2872504:2872716, ack 1621, win 501, length 212
02:51:18.625129 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2872716:2872928, ack 1621, win 501, length 212
02:51:18.625180 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2872928:2873140, ack 1621, win 501, length 212
02:51:18.625377 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2873140:2873352, ack 1621, win 501, length 212
02:51:18.625429 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2873352:2873564, ack 1621, win 501, length 212
02:51:18.625477 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2873564:2873776, ack 1621, win 501, length 212
02:51:18.625527 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2873776:2873988, ack 1621, win 501, length 212
02:51:18.625575 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2873988:2874200, ack 1621, win 501, length 212
02:51:18.625624 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2874200:2874412, ack 1621, win 501, length 212
02:51:18.625747 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2874412:2874624, ack 1621, win 501, length 212
02:51:18.625922 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2874624:2874836, ack 1621, win 501, length 212
02:51:18.626099 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2874836:2875048, ack 1621, win 501, length 212
02:51:18.626161 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2875048:2875260, ack 1621, win 501, length 212
02:51:18.626235 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2875260:2875472, ack 1621, win 501, length 212
02:51:18.626291 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2875472:2875684, ack 1621, win 501, length 212
02:51:18.626342 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2875684:2875896, ack 1621, win 501, length 212
02:51:18.626394 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2875896:2876108, ack 1621, win 501, length 212
02:51:18.626655 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2876108:2876320, ack 1621, win 501, length 212
02:51:18.626734 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2876320:2876532, ack 1621, win 501, length 212
02:51:18.626790 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2876532:2876744, ack 1621, win 501, length 212
02:51:18.626840 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2876744:2876956, ack 1621, win 501, length 212
02:51:18.626889 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2876956:2877168, ack 1621, win 501, length 212
02:51:18.626940 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2877168:2877380, ack 1621, win 501, length 212
02:51:18.626991 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2877380:2877592, ack 1621, win 501, length 212
02:51:18.627040 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2877592:2877804, ack 1621, win 501, length 212
02:51:18.627090 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2877804:2878016, ack 1621, win 501, length 212
02:51:18.627166 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2878016:2878228, ack 1621, win 501, length 212
02:51:18.627218 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2878228:2878440, ack 1621, win 501, length 212
02:51:18.628155 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2878440:2878652, ack 1621, win 501, length 212
02:51:18.628270 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2878652:2878864, ack 1621, win 501, length 212
02:51:18.628324 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2878864:2879076, ack 1621, win 501, length 212
02:51:18.628373 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2879076:2879288, ack 1621, win 501, length 212
02:51:18.628508 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2879288:2879500, ack 1621, win 501, length 212
02:51:18.628602 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2879500:2879712, ack 1621, win 501, length 212
02:51:18.628661 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2879712:2879924, ack 1621, win 501, length 212
02:51:18.628785 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2879924:2880136, ack 1621, win 501, length 212
02:51:18.629024 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2880136:2880348, ack 1621, win 501, length 212
02:51:18.629120 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2880348:2880560, ack 1657, win 501, length 212
02:51:18.629190 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2880560:2880772, ack 1657, win 501, length 212
02:51:18.629248 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2880772:2880984, ack 1657, win 501, length 212
02:51:18.629300 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2880984:2881196, ack 1657, win 501, length 212
02:51:18.629352 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2881196:2881408, ack 1657, win 501, length 212
02:51:18.629716 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2881408:2881620, ack 1657, win 501, length 212
02:51:18.629935 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2881620:2881832, ack 1657, win 501, length 212
02:51:18.630001 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2881832:2882044, ack 1657, win 501, length 212
02:51:18.630064 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2882044:2882256, ack 1657, win 501, length 212
02:51:18.630109 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2882256:2882468, ack 1657, win 501, length 212
02:51:18.630145 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2882468:2882680, ack 1657, win 501, length 212
02:51:18.630185 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2882680:2882892, ack 1657, win 501, length 212
02:51:18.630236 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2882892:2883104, ack 1657, win 501, length 212
02:51:18.630293 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2883104:2883316, ack 1657, win 501, length 212
02:51:18.630341 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2883316:2883528, ack 1657, win 501, length 212
02:51:18.630957 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2883528:2883740, ack 1657, win 501, length 212
02:51:18.631428 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2883740:2883952, ack 1657, win 501, length 212
02:51:18.631609 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2883952:2884164, ack 1657, win 501, length 212
02:51:18.631653 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2884164:2884376, ack 1657, win 501, length 212
02:51:18.631690 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2884376:2884588, ack 1657, win 501, length 212
02:51:18.631726 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2884588:2884800, ack 1657, win 501, length 212
02:51:18.631761 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2884800:2885012, ack 1657, win 501, length 212
02:51:18.631812 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2885012:2885224, ack 1657, win 501, length 212
02:51:18.631848 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2885224:2885436, ack 1657, win 501, length 212
02:51:18.631882 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2885436:2885648, ack 1657, win 501, length 212
02:51:18.631915 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2885648:2885860, ack 1657, win 501, length 212
02:51:18.631960 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2885860:2886072, ack 1657, win 501, length 212
02:51:18.632000 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2886072:2886284, ack 1657, win 501, length 212
02:51:18.632039 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2886284:2886496, ack 1657, win 501, length 212
02:51:18.632076 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2886496:2886708, ack 1657, win 501, length 212
02:51:18.632111 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2886708:2886920, ack 1657, win 501, length 212
02:51:18.632275 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2886920:2887132, ack 1657, win 501, length 212
02:51:18.632325 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2887132:2887344, ack 1657, win 501, length 212
02:51:18.632362 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2887344:2887556, ack 1657, win 501, length 212
02:51:18.632403 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2887556:2887768, ack 1657, win 501, length 212
02:51:18.632455 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2887768:2887980, ack 1657, win 501, length 212
02:51:18.633120 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2887980:2888192, ack 1657, win 501, length 212
02:51:18.633430 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2888192:2888404, ack 1657, win 501, length 212
02:51:18.633502 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2888404:2888616, ack 1657, win 501, length 212
02:51:18.633548 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2888616:2888828, ack 1657, win 501, length 212
02:51:18.633593 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2888828:2889040, ack 1657, win 501, length 212
02:51:18.633637 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2889040:2889252, ack 1657, win 501, length 212
02:51:18.633680 IP comp3134-Winter2023.ssh > bras-base-toroon63ztr-grc-42-174-91-170-42.dsl.bell.ca.56476: Flags [P.], seq 2889252:2889464, ack 1657, win 501, length 212
